tag category,Tag,Linked tag category,Linked tag
Entity_purity,_Entity_purity.Sample_label,Heteronucl_T1_experiment,_Heteronucl_T1_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Heteronucl_T1rho_experiment,_Heteronucl_T1rho_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Heteronucl_T2_experiment,_Heteronucl_T2_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Dipole_dipole_relax_experiment,_Dipole_dipole_relax_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Cross_correlation_experiment,_Cross_correlation_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Order_parameter_experiment,_Order_parameter_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,PH_titration_experiment,_PH_titration_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,D_H_fract_factor_experiment,_D_H_fract_factor_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Secondary_struct_experiment,_Secondary_struct_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Deduced_H_bond_experiment,_Deduced_H_bond_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Conformer_family_coord_set_expt,_Conformer_family_coord_set_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,Distance_constraints_expt,_Distance_constraints_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,Torsion_angle_constraints_expt,_Torsion_angle_constraints_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,RDC_constraint_expt,_RDC_constraint_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,J_three_bond_constraint_expt,_J_three_bond_constraint_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,CA_CB_constraint_expt,_CA_CB_constraint_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,H_chem_shift_constraint_expt,_H_chem_shift_constraint_expt.Sample_label
Entity_purity,_Entity_purity.Sample_label,NMR_spec_expt,_NMR_spec_expt.Sample_label
Entity_purity,_Entity_purity.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Entity_purity,_Entity_purity.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Entity_purity,_Entity_purity.Entity_label,Entity,_Entity.Sf_framecode
Entity_purity,_Entity_purity.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Entity_purity,_Entity_purity.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Entity_purity,_Entity_purity.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Entity_purity,_Entity_purity.Entity_label,Sample_component,_Sample_component.Entity_label
Entity_purity,_Entity_purity.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Entity_purity,_Entity_purity.Entity_label,Entity_purity,_Entity_purity.Entity_label
Chem_shift_reference,_Chem_shift_reference.Sf_framecode,Chem_shift_reference,_Chem_shift_reference.Sf_framecode
Chem_shift_reference,_Chem_shift_reference.Sf_framecode,Assigned_chem_shift_list,_Assigned_chem_shift_list.Chem_shift_reference_label
Chem_shift_reference,_Chem_shift_reference.Sf_framecode,Chem_shifts_calc_type,_Chem_shifts_calc_type.Chem_shift_ref_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Sample_condition_list,_Sample_condition_list.Sf_framecode
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Coupling_constant_list,_Coupling_constant_list.Sample_condition_list_label
Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label,Spectral_peak_list,_Spectral_peak_list.Sample_condition_list_label
